movie_name,award_year,award_category,award_winner
Two Arabian Knights,1927-01-01,Best Director,False
The Divine Lady,1930-01-01,Best Director,False
All Quiet on the Western Front,1931-01-01,Best Director,False
Skippy,1932-01-01,Best Director,False
Bad Girl,1933-01-01,Best Director,False
Cavalcade,1934-01-01,Best Director,False
It Happened One Night,1935-01-01,Best Director,False
The Informer,1936-01-01,Best Director,False
Mr. Deeds Goes to Town,1937-01-01,Best Director,False
The Awful Truth,1938-01-01,Best Director,False
You Can't Take It with You,1939-01-01,Best Director,False
Gone with the Wind,1940-01-01,Best Director,False
The Grapes of Wrath,1941-01-01,Best Director,False
How Green Was My Valley,1942-01-01,Best Director,False
Mrs. Miniver,1943-01-01,Best Director,False
Casablanca,1944-01-01,Best Director,False
Going My Way,1945-01-01,Best Director,False
West Side Story,1962-01-01,Best Director,False
The Lost Weekend,1946-01-01,Best Director,False
The Best Years of Our Lives,1947-01-01,Best Director,False
Gentleman's Agreement,1948-01-01,Best Director,False
The Treasure of the Sierra Madre,1949-01-01,Best Director,True
A Letter to Three Wives,1950-01-01,Best Director,False
All About Eve,1951-01-01,Best Director,False
A Place in the Sun,1952-01-01,Best Director,False
The Quiet Man,1953-01-01,Best Director,False
From Here to Eternity,1954-01-01,Best Director,False
On the Waterfront,1955-01-01,Best Director,False
Marty,1956-01-01,Best Director,False
Giant,1957-01-01,Best Director,False
The Bridge on the River Kwai,1958-01-01,Best Director,False
Gigi,1959-01-01,Best Director,False
Ben-Hur,1960-01-01,Best Director,False
The Apartment,1961-01-01,Best Director,True
West Side Story,1961-01-01,Best Director,False
Lawrence of Arabia,1963-01-01,Best Director,False
Tom Jones,1964-01-01,Best Director,False
My Fair Lady,1965-01-01,Best Director,False
The Sound of Music,1966-01-01,Best Director,False
A Man for All Seasons,1967-01-01,Best Director,False
The Graduate,1968-01-01,Best Director,False
No Country for Old Men,2008-01-01,Best Director,False
Oliver!,1969-01-01,Best Director,False
Midnight Cowboy,1969-01-01,Best Director,False
Patton,1970-01-01,Best Director,False
The French Connection,1972-01-01,Best Director,False
Cabaret,1973-01-01,Best Director,False
The Sting,1973-01-01,Best Director,False
The Godfather Part II,1975-01-01,Best Director,False
One Flew over the Cuckoo's Nest,1976-01-01,Best Director,False
Rocky,1976-01-01,Best Director,False
Annie Hall,1978-01-01,Best Director,False
The Deer Hunter,1979-01-01,Best Director,True
Kramer vs. Kramer,1980-01-01,Best Director,False
Ordinary People,1980-01-01,Best Director,False
Reds,1981-01-01,Best Director,False
Gandhi,1982-01-01,Best Director,False
Terms of Endearment,1983-01-01,Best Director,False
Amadeus,1985-01-01,Best Director,False
Out of Africa,1986-01-01,Best Director,False
Platoon,1990-01-01,Best Director,False
The Last Emperor,1988-01-01,Best Director,False
Rain Man,1989-01-01,Best Director,False
Born on the Fourth of July,1990-01-01,Best Director,False
Dances with Wolves,1991-01-01,Best Director,False
The Silence of the Lambs,1992-01-01,Best Director,False
Unforgiven,1993-01-01,Best Director,False
Schindler's List,1994-01-01,Best Director,False
Forrest Gump,1995-01-01,Best Director,False
Braveheart,1996-01-01,Best Director,False
The English Patient,1997-01-01,Best Director,False
Titanic,1998-01-01,Best Director,False
Saving Private Ryan,1999-01-01,Best Director,False
American Beauty,2000-01-01,Best Director,False
Traffic,2001-01-01,Best Director,False
A Beautiful Mind,2002-01-01,Best Director,False
The Pianist,2003-01-01,Best Director,False
The Lord of the Rings: Return of the King,2004-01-01,Best Director,False
Million Dollar Baby,2005-01-01,Best Director,False
Brokeback Mountain,2006-01-01,Best Director,False
The Departed,2007-01-01,Best Director,False
Slumdog Millionaire,2009-01-01,Best Director,True
The Hurt Locker,2009-01-01,Best Director,False
The King's Speech,2011-01-01,Best Director,False
The Artist,2012-01-01,Best Director,False
Life of Pi,2013-01-01,Best Director,False
The Last Command,1929-01-01,Best Actor,False
In Old Arizona,1930-01-01,Best Actor,False
Desraeli,1930-01-01,Best Actor,False
A Free Soul,1931-01-01,Best Actor,False
The Champ,1932-01-01,Best Actor,False
The Private Life of Henry VIII,1934-01-01,Best Actor,False
The Story of Louis Pasteur,1937-01-01,Best Actor,False
Captains Courageous,1938-01-01,Best Actor,False
Boys Town,1939-01-01,Best Actor,False
Goodbye Mr. Chips,1940-01-01,Best Actor,False
The Philadelphia Story,1941-01-01,Best Actor,False
Sergeant York,1942-01-01,Best Actor,False
Yankee Doodle Dandy,1943-01-01,Best Actor,False
Watch on the Rhine,1944-01-01,Best Actor,False
A Double Life,1948-01-01,Best Actor,False
Hamlet,1949-01-01,Best Actor,False
All The King's Men,1950-01-01,Best Actor,False
Cyrano de Bergerac,1951-01-01,Best Actor,False
The Africa Queen,1952-01-01,Best Actor,False
High Noon,1953-01-01,Best Actor,True
Stalag 17,1954-01-01,Best Actor,False
The King and I,1957-01-01,Best Actor,False
Separate Tables,1959-01-01,Best Actor,False
Ben-hur,1960-01-01,Best Actor,False
Elmer Gantry,1961-01-01,Best Actor,False
Judgement at Nuremberg,1962-01-01,Best Actor,False
To Kill a Mockingbird,1963-01-01,Best Actor,False
Lilies of the Field,1964-01-01,Best Actor,False
Cat Ballou,1966-01-01,Best Actor,False
A Man For All Seasons,1967-01-01,Best Actor,False
In the Heat of the Night,1968-01-01,Best Actor,False
Charly,1969-01-01,Best Actor,False
True Grit,1970-01-01,Best Actor,False
Patton,1971-01-01,Best Actor,False
The Godfather,1973-01-01,Best Actor,False
Save the Tiger,1974-01-01,Best Actor,False
Harry and Tonto,1975-01-01,Best Actor,False
One Flew Over the Cuckoo's Nest,1976-01-01,Best Actor,False
Network,1977-01-01,Best Actor,False
The Goodbye Girl,1978-01-01,Best Actor,False
Coming Home,1979-01-01,Best Actor,False
Raging Bull,1981-01-01,Best Actor,False
On Golden Pond,1982-01-01,Best Actor,False
Gandhi,1983-01-01,Best Actor,False
Tender Mercies,1984-01-01,Best Actor,False
Kiss of the Spider Woman,1986-01-01,Best Actor,False
The Color of Money,1987-01-01,Best Actor,False
Wall Street,1988-01-01,Best Actor,False
Rainman,1989-01-01,Best Actor,False
My Left Foot,1990-01-01,Best Actor,False
Reversal of Fortune,1991-01-01,Best Actor,False
Silence of the Lambs,1992-01-01,Best Actor,False
Scent of a Woman,1993-01-01,Best Actor,False
Philadelphia,1994-01-01,Best Actor,True
Leaving Las Vegas,1996-01-01,Best Actor,False
Shine,1997-01-01,Best Actor,False
As Good as It Gets,1997-01-01,Best Actor,False
Life is Beautiful,1999-01-01,Best Actor,False
Gladiator,2001-01-01,Best Actor,False
Training Day,2002-01-01,Best Actor,False
Mystic River,2003-01-01,Best Actor,False
Ray,2005-01-01,Best Actor,False
Capote,2006-01-01,Best Actor,False
The Last King of Scotland,2007-01-01,Best Actor,False
There Will Be Blood,2008-01-01,Best Actor,False
Milk,2009-01-01,Best Actor,False
Crazy Heart,2010-01-01,Best Actor,False
Lincoln,2013-01-01,Best Actor,False
Dallas Buyers Club,2014-01-01,Best Actor,False
Come and Get It,1938-01-01,Best Supporting Actor,False
The Life of Emile Zola,1938-01-01,Best Supporting Actor,False
Kentucky,1939-01-01,Best Supporting Actor,False
Stagecoach,1940-01-01,Best Supporting Actor,False
The Westerner,1941-01-01,Best Supporting Actor,False
Johnny Eager,1943-01-01,Best Supporting Actor,True
The More the Merrier,1944-01-01,Best Supporting Actor,False
A Tree Grows in Brooklyn,1946-01-01,Best Supporting Actor,False
Miracle on 34th Street,1948-01-01,Best Supporting Actor,False
Twelve O'Clock High,1950-01-01,Best Supporting Actor,False
A Streetcar Named Desire,1952-01-01,Best Supporting Actor,False
Viva Zapata!,1953-01-01,Best Supporting Actor,False
The Barefoot Contessa,1955-01-01,Best Supporting Actor,False
Mister Roberts,1956-01-01,Best Supporting Actor,False
Lust for Life,1957-01-01,Best Supporting Actor,False
Sayonara,1958-01-01,Best Supporting Actor,False
The Big Country,1959-01-01,Best Supporting Actor,False
Spartacus,1961-01-01,Best Supporting Actor,False
Sweet Bird of Youth,1963-01-01,Best Supporting Actor,False
Hud,1964-01-01,Best Supporting Actor,False
Topkapi,1965-01-01,Best Supporting Actor,False
A Thousand Clowns,1966-01-01,Best Supporting Actor,False
The Fortune Cookie,1967-01-01,Best Supporting Actor,False
Cool Hand Luke,1968-01-01,Best Supporting Actor,False
The Subject Was Roses,1969-01-01,Best Supporting Actor,True
They Shoot Horses,1970-01-01,Best Supporting Actor,False
 Don't They?,1970-01-01,Best Supporting Actor,False
Ryan's Daughter,1971-01-01,Best Supporting Actor,False
The Last Picture Show,1972-01-01,Best Supporting Actor,False
The Paper Chase,1974-01-01,Best Supporting Actor,False
The Sunshine Boys,1976-01-01,Best Supporting Actor,False
All the President's Men,1977-01-01,Best Supporting Actor,True
Julia,1978-01-01,Best Supporting Actor,False
Being There,1980-01-01,Best Supporting Actor,False
Oridnary People,1981-01-01,Best Supporting Actor,False
Arthur,1982-01-01,Best Supporting Actor,False
An Officer and a Gentleman,1983-01-01,Best Supporting Actor,False
Terms of Endearment,1984-01-01,Best Supporting Actor,False
The Killing Fields,1985-01-01,Best Supporting Actor,False
Cocoon,1986-01-01,Best Supporting Actor,False
Hannah and Her Sisters,1987-01-01,Best Supporting Actor,False
The Untouchables,1988-01-01,Best Supporting Actor,False
A Fish Called Wanda,1989-01-01,Best Supporting Actor,False
Glory,1990-01-01,Best Supporting Actor,False
Good Fellas,1991-01-01,Best Supporting Actor,False
City Slickers,1992-01-01,Best Supporting Actor,False
The Fugitive,1994-01-01,Best Supporting Actor,False
Ed Wood,1995-01-01,Best Supporting Actor,False
The Usual Suspects,1996-01-01,Best Supporting Actor,False
Jerry Maguire,1997-01-01,Best Supporting Actor,False
Good Will Hunting,1998-01-01,Best Supporting Actor,False
Affliction,1999-01-01,Best Supporting Actor,True
The Cider House Rules,2000-01-01,Best Supporting Actor,False
Iris,2002-01-01,Best Supporting Actor,False
Adaptation,2003-01-01,Best Supporting Actor,False
Mystic River,2004-01-01,Best Supporting Actor,False
Syriana,2006-01-01,Best Supporting Actor,False
Little Miss Sunshine,2007-01-01,Best Supporting Actor,False
The Dark Knight,2009-01-01,Best Supporting Actor,False
Inglourious Basterds,2010-01-01,Best Supporting Actor,False
The Fighter,2011-01-01,Best Supporting Actor,False
Beginning,2012-01-01,Best Supporting Actor,False
Django Unchained,2013-01-01,Best Supporting Actor,False
7th Heaven,1929-01-01,Best Actress,False
Coquette,1930-01-01,Best Actress,False
The Divorcee,1930-01-01,Best Actress,False
Min and Bill,1931-01-01,Best Actress,False
The Sin of Madelon Claudet,1932-01-01,Best Actress,False
Morning Glory,1934-01-01,Best Actress,False
Dangerous,1936-01-01,Best Actress,False
The Great Ziegfeld,1937-01-01,Best Actress,False
The Good Earth,1938-01-01,Best Actress,False
Jezebel,1939-01-01,Best Actress,False
Kitty Foyle,1941-01-01,Best Actress,True
Suspicion,1940-01-01,Best Actress,False
Mrs. Miniver,1942-01-01,Best Actress,False
The Song of Bernadette,1944-01-01,Best Actress,False
Gaslight,1945-01-01,Best Actress,False
Mildred Pierce,1946-01-01,Best Actress,False
To Each His Own,1947-01-01,Best Actress,False
The Farmer's Daughter,1948-01-01,Best Actress,False
Johnny Belinda,1949-01-01,Best Actress,False
The Heiress,1950-01-01,Best Actress,False
Born Yesterday,1951-01-01,Best Actress,False
Come Back,1953-01-01,Best Actress,False
 Little Sheba,1953-01-01,Best Actress,False
Roman Holiday,1954-01-01,Best Actress,False
The Country Girl,1955-01-01,Best Actress,False
The Rose Tattoo,1956-01-01,Best Actress,False
Anastasia,1957-01-01,Best Actress,False
The Three Faces of Eve,1958-01-01,Best Actress,True
I Want To Live!,1959-01-01,Best Actress,False
Room at the Top,1960-01-01,Best Actress,False
Butterfield 8,1961-01-01,Best Actress,False
Two Women,1962-01-01,Best Actress,False
The Miracle Worker,1963-01-01,Best Actress,False
Mary Poppins,1965-01-01,Best Actress,False
Darling,1966-01-01,Best Actress,False
Who's Afraid of Virginia Woolf?,1967-01-01,Best Actress,True
Guess Who's Coming to Dinner,1968-01-01,Best Actress,False
Funny Girl,1969-01-01,Best Actress,False
The Lion in Winter,1969-01-01,Best Actress,False
The Prime of Miss Jean Brodie,1970-01-01,Best Actress,True
Women in Love,1971-01-01,Best Actress,False
Klute,1972-01-01,Best Actress,False
A Touch of Class,1974-01-01,Best Actress,False
Alice Doesn't Live Here Anymore,1975-01-01,Best Actress,False
Norma Rae,1980-01-01,Best Actress,False
Coal Miner's Daughter,1981-01-01,Best Actress,False
Sophie's Choice,1983-01-01,Best Actress,False
Places in the Heart,1985-01-01,Best Actress,False
The Trip to Bountiful,1986-01-01,Best Actress,False
Children of a Lesser God,1987-01-01,Best Actress,False
Moonstruck,1988-01-01,Best Actress,False
The Accused,1989-01-01,Best Actress,False
Driving Miss Daisy,1990-01-01,Best Actress,False
Misery,1991-01-01,Best Actress,False
Howards End,1993-01-01,Best Actress,False
The Piano,1994-01-01,Best Actress,False
Blue Sky,1995-01-01,Best Actress,False
Dead Man Walking,1996-01-01,Best Actress,False
Fargo,1997-01-01,Best Actress,False
As Good As It Gets,1998-01-01,Best Actress,False
Shakespeare in Love,1999-01-01,Best Actress,True
Boys Don't Cry,2000-01-01,Best Actress,False
Erin Brockovich,2001-01-01,Best Actress,False
Monster's Ball,2002-01-01,Best Actress,False
The Hours,2003-01-01,Best Actress,False
Monster,2004-01-01,Best Actress,False
Walk the Line,2006-01-01,Best Actress,False
The Queen,2007-01-01,Best Actress,False
The Passionate Life of Edith Piaf,2008-01-01,Best Actress,False
The Reader,2009-01-01,Best Actress,False
The Blind Side,2010-01-01,Best Actress,False
Black Swan,2011-01-01,Best Actress,False
The Iron Lady,2012-01-01,Best Actress,False
Silver Linings Playbook,2013-01-01,Best Actress,False
Blue Jasmine,2014-01-01,Best Actress,False
Anthony Adverse,1937-01-01,Best Supporting Actress,False
In Old Chicago,1938-01-01,Best Supporting Actress,False
The Great Lie,1942-01-01,Best Supporting Actress,True
For Whom the Bell Tolls,1944-01-01,Best Supporting Actress,False
None but the Lonely Heart,1945-01-01,Best Supporting Actress,False
National Velvet,1946-01-01,Best Supporting Actress,True
The Razor's Edge,1947-01-01,Best Supporting Actress,False
Key Largo,1949-01-01,Best Supporting Actress,False
All the King's Men,1950-01-01,Best Supporting Actress,False
Harvey,1951-01-01,Best Supporting Actress,False
The Bad and the Beautiful,1953-01-01,Best Supporting Actress,False
East of Eden,1956-01-01,Best Supporting Actress,False
Written on the Wind,1957-01-01,Best Supporting Actress,False
The Diary of Anne Frank,1960-01-01,Best Supporting Actress,False
the V.I.P.s,1964-01-01,Best Supporting Actress,False
Zorba the Greek,1965-01-01,Best Supporting Actress,False
A Patch of Blue,1966-01-01,Best Supporting Actress,False
Bonnie and Clyde,1968-01-01,Best Supporting Actress,False
Rosemary's Baby,1969-01-01,Best Supporting Actress,False
Cactus Flower,1970-01-01,Best Supporting Actress,False
Airport,1971-01-01,Best Supporting Actress,False
Butterflies Are Free,1973-01-01,Best Supporting Actress,False
Paper Moon,1974-01-01,Best Supporting Actress,False
Murder on the Orient Express,1975-01-01,Best Supporting Actress,False
Shampoo,1976-01-01,Best Supporting Actress,True
California Suite,1979-01-01,Best Supporting Actress,False
Melvin and Howard,1981-01-01,Best Supporting Actress,False
Reds,1982-01-01,Best Supporting Actress,False
Tootsie,1983-01-01,Best Supporting Actress,False
The Year of Living Dangerously,1984-01-01,Best Supporting Actress,False
A Passage to India,1985-01-01,Best Supporting Actress,False
Prizzi's Honor,1986-01-01,Best Supporting Actress,False
The Accidental Tourist,1989-01-01,Best Supporting Actress,False
Ghost,1991-01-01,Best Supporting Actress,False
The Fisher King,1992-01-01,Best Supporting Actress,False
My Cousin Vinny,1993-01-01,Best Supporting Actress,False
Bullets Over Broadway,1995-01-01,Best Supporting Actress,False
Mighty Aphrodite,1996-01-01,Best Supporting Actress,False
L.A. Confidential,1998-01-01,Best Supporting Actress,False
Girl,2000-01-01,Best Supporting Actress,True
 Interrupted,2000-01-01,Best Supporting Actress,True
Pollock,2001-01-01,Best Supporting Actress,True
Chicago,2003-01-01,Best Supporting Actress,False
Cold Mountain,2004-01-01,Best Supporting Actress,False
The Aviator,2005-01-01,Best Supporting Actress,False
The Constant Gardener,2006-01-01,Best Supporting Actress,True
Dreamgirls,2007-01-01,Best Supporting Actress,False
Michael Clayton,2007-01-01,Best Supporting Actress,False
Vicky Cristina Barcelona,2009-01-01,Best Supporting Actress,False
Precious,2010-01-01,Best Supporting Actress,True
The Help,2012-01-01,Best Supporting Actress,False
Les Mis̩rables,2013-01-01,Best Supporting Actress,False
12 Years a Slave,2014-01-01,Best Supporting Actress,False
The Noose,1928-01-01,ACTOR,False
The Last Command,1928-01-01,ACTOR,True
A Ship Comes In,1928-01-01,ACTRESS,False
7th Heaven,1928-01-01,ACTRESS,True
Sadie Thompson,1928-01-01,ACTRESS,False
Sunrise,1928-01-01,ART DIRECTION,False
The Dove,1928-01-01,ART DIRECTION,True
,1928-01-01,ART DIRECTION,True
The Devil Dancer,1928-01-01,CINEMATOGRAPHY,False
Two Arabian Knights,1928-01-01,DIRECTING (Comedy Picture),True
Speedy,1928-01-01,DIRECTING (Comedy Picture),False
Sorrell and Son,1928-01-01,DIRECTING (Dramatic Picture),False
The Crowd,1928-01-01,DIRECTING (Dramatic Picture),False
Wings,1928-01-01,ENGINEERING EFFECTS,True
The Racket,1928-01-01,OUTSTANDING PICTURE,False
Chang,1928-01-01,UNIQUE AND ARTISTIC PICTURE,False
The Jazz Singer,1928-01-01,WRITING (Adaptation),False
Glorious Betsy,1928-01-01,WRITING (Adaptation),False
Underworld,1928-01-01,WRITING (Original Story),True
The Private Life of Helen of Troy,1928-01-01,WRITING (Title Writing),False
Thunderbolt,1929-01-01,ACTOR,False
In Old Arizona,1929-01-01,ACTOR,True
Alibi,1929-01-01,ACTOR,False
The Valiant,1929-01-01,ACTOR,False
The Patriot,1929-01-01,ACTOR,False
Madame X,1929-01-01,ACTRESS,False
The Barker,1929-01-01,ACTRESS,False
The Letter,1929-01-01,ACTRESS,False
The Divine Lady,1929-01-01,ACTRESS,False
The Broadway Melody,1929-01-01,ACTRESS,False
Coquette,1929-01-01,ACTRESS,True
The Bridge of San Luis Rey,1929-01-01,ART DIRECTION,True
Dynamite,1929-01-01,ART DIRECTION,False
,1929-01-01,ART DIRECTION,False
Street Angel,1929-01-01,ART DIRECTION,False
Our Dancing Daughters,1929-01-01,CINEMATOGRAPHY,False
White Shadows in the South Seas,1929-01-01,CINEMATOGRAPHY,True
Four Devils,1929-01-01,CINEMATOGRAPHY,False
Drag,1929-01-01,DIRECTING,False
Hollywood Revue,1929-01-01,OUTSTANDING PICTURE,False
The Cop,1929-01-01,WRITING,False
The Last of Mrs. Cheyney,1929-01-01,WRITING,False
A Woman of Affairs,1929-01-01,WRITING,False
Disraeli,1930-01-01,ACTOR,True
The Green Goddess,1930-01-01,ACTOR,False
The Big House,1930-01-01,ACTOR,False
The Big Pond,1930-01-01,ACTOR,False
Bulldog Drummond,1930-01-01,ACTOR,False
The Rogue Song,1930-01-01,ACTOR,False
The Devil's Holiday,1930-01-01,ACTRESS,False
Sarah and Son,1930-01-01,ACTRESS,False
Anna Christie,1930-01-01,ACTRESS,False
Their Own Desire,1930-01-01,ACTRESS,False
The Trespasser,1930-01-01,ACTRESS,False
King of Jazz,1930-01-01,ART DIRECTION,True
The Love Parade,1930-01-01,ART DIRECTION,False
Sally,1930-01-01,ART DIRECTION,False
The Vagabond King,1930-01-01,ART DIRECTION,False
All Quiet on the Western Front,1930-01-01,CINEMATOGRAPHY,False
Hell's Angels,1930-01-01,CINEMATOGRAPHY,False
With Byrd at the South Pole,1930-01-01,CINEMATOGRAPHY,True
,1930-01-01,DIRECTING,False
Hallelujah,1930-01-01,DIRECTING,False
The Case of Sergeant Grischa,1930-01-01,SOUND RECORDING,False
Raffles,1930-01-01,SOUND RECORDING,False
Song of the Flame,1930-01-01,SOUND RECORDING,False
Street of Chance,1930-01-01,WRITING,False
Skippy,1931-01-01,ACTOR,False
Cimarron,1931-01-01,ACTOR,False
The Royal Family of Broadway,1931-01-01,ACTOR,False
The Front Page,1931-01-01,ACTOR,False
Morocco,1931-01-01,ACTRESS,False
Holiday,1931-01-01,ACTRESS,False
Just Imagine,1931-01-01,ART DIRECTION,False
Svengali,1931-01-01,ART DIRECTION,False
Whoopee!,1931-01-01,ART DIRECTION,False
The Right to Love,1931-01-01,CINEMATOGRAPHY,False
Tabu,1931-01-01,CINEMATOGRAPHY,True
East Lynne,1931-01-01,OUTSTANDING PRODUCTION,False
Trader Horn,1931-01-01,OUTSTANDING PRODUCTION,False
The Criminal Code,1931-01-01,WRITING (Adaptation),False
Little Caesar,1931-01-01,WRITING (Adaptation),False
The Dawn Patrol,1931-01-01,WRITING (Original Story),True
The Doorway to Hell,1931-01-01,WRITING (Original Story),False
Laughter,1931-01-01,WRITING (Original Story),False
The Public Enemy,1931-01-01,WRITING (Original Story),False
Smart Money,1931-01-01,WRITING (Original Story),False
The Guardsman,1932-01-01,ACTOR,False
Dr. Jekyll and Mr. Hyde,1932-01-01,ACTOR,True
Emma,1932-01-01,ACTRESS,False
À Nous la Liberté,1932-01-01,ART DIRECTION,False
Arrowsmith,1932-01-01,ART DIRECTION,False
Transatlantic,1932-01-01,ART DIRECTION,True
Shanghai Express,1932-01-01,CINEMATOGRAPHY,True
Bad Girl,1932-01-01,DIRECTING,True
Five Star Final,1932-01-01,OUTSTANDING PRODUCTION,False
Grand Hotel,1932-01-01,OUTSTANDING PRODUCTION,True
One Hour with You,1932-01-01,OUTSTANDING PRODUCTION,False
The Smiling Lieutenant,1932-01-01,OUTSTANDING PRODUCTION,False
Flowers and Trees,1932-01-01,SHORT SUBJECT (Cartoon),True
It's Got Me Again,1932-01-01,SHORT SUBJECT (Cartoon),False
Mickey's Orphans,1932-01-01,SHORT SUBJECT (Cartoon),False
The Loud Mouth,1932-01-01,SHORT SUBJECT (Comedy),False
The Music Box,1932-01-01,SHORT SUBJECT (Comedy),True
Scratch-As-Catch-Can,1932-01-01,SHORT SUBJECT (Comedy),False
Stout Hearts and Willing Hands,1932-01-01,SHORT SUBJECT (Comedy),False
Screen Souvenirs,1932-01-01,SHORT SUBJECT (Novelty),False
Swing High,1932-01-01,SHORT SUBJECT (Novelty),False
Wrestling Swordfish,1932-01-01,SHORT SUBJECT (Novelty),True
Lady and Gent,1932-01-01,WRITING (Original Story),False
The Star Witness,1932-01-01,WRITING (Original Story),False
What Price Hollywood?,1932-01-01,WRITING (Original Story),False
Berkeley Square,1933-01-01,ACTOR,False
The Private Life of Henry VIII,1933-01-01,ACTOR,True
I Am a Fugitive from a Chain Gang,1933-01-01,ACTOR,False
Morning Glory,1933-01-01,ACTRESS,True
Lady for a Day,1933-01-01,ACTRESS,False
Cavalcade,1933-01-01,ACTRESS,False
A Farewell to Arms,1933-01-01,ART DIRECTION,False
When Ladies Meet,1933-01-01,ART DIRECTION,False
Reunion in Vienna,1933-01-01,CINEMATOGRAPHY,False
The Sign of the Cross,1933-01-01,CINEMATOGRAPHY,False
Little Women,1933-01-01,DIRECTING,False
42nd Street,1933-01-01,OUTSTANDING PRODUCTION,False
She Done Him Wrong,1933-01-01,OUTSTANDING PRODUCTION,False
Smilin' Through,1933-01-01,OUTSTANDING PRODUCTION,False
State Fair,1933-01-01,OUTSTANDING PRODUCTION,False
Building a Building,1933-01-01,SHORT SUBJECT (Cartoon),False
The Merry Old Soul,1933-01-01,SHORT SUBJECT (Cartoon),False
The Three Little Pigs,1933-01-01,SHORT SUBJECT (Cartoon),True
Mister Mugg,1933-01-01,SHORT SUBJECT (Comedy),False
A Preferred List,1933-01-01,SHORT SUBJECT (Comedy),False
So This Is Harris,1933-01-01,SHORT SUBJECT (Comedy),True
Krakatoa,1933-01-01,SHORT SUBJECT (Novelty),True
Menu,1933-01-01,SHORT SUBJECT (Novelty),False
The Sea,1933-01-01,SHORT SUBJECT (Novelty),False
Gold Diggers of 1933,1933-01-01,SOUND RECORDING,False
One Way Passage,1933-01-01,WRITING (Original Story),True
The Prizefighter and the Lady,1933-01-01,WRITING (Original Story),False
Rasputin and the Empress,1933-01-01,WRITING (Original Story),False
The Affairs of Cellini,1935-01-01,ACTOR,False
The Thin Man,1935-01-01,ACTOR,False
Of Human Bondage,1935-01-01,ACTRESS,False
One Night of Love,1935-01-01,ACTRESS,False
The Barretts of Wimpole Street,1935-01-01,ACTRESS,False
The Gay Divorcee,1935-01-01,ART DIRECTION,False
The Merry Widow,1935-01-01,ART DIRECTION,True
Cleopatra,1935-01-01,ASSISTANT DIRECTOR,False
Imitation of Life,1935-01-01,ASSISTANT DIRECTOR,False
Viva Villa!,1935-01-01,ASSISTANT DIRECTOR,True
Operator 13,1935-01-01,CINEMATOGRAPHY,False
Eskimo,1935-01-01,FILM EDITING,True
The Lost Patrol,1935-01-01,MUSIC (Scoring),False
Flying Down to Rio,1935-01-01,MUSIC (Song),False
She Loves Me Not,1935-01-01,MUSIC (Song),False
Flirtation Walk,1935-01-01,OUTSTANDING PRODUCTION,False
Here Comes the Navy,1935-01-01,OUTSTANDING PRODUCTION,False
The House of Rothschild,1935-01-01,OUTSTANDING PRODUCTION,False
The White Parade,1935-01-01,OUTSTANDING PRODUCTION,False
Holiday Land,1935-01-01,SHORT SUBJECT (Cartoon),False
Jolly Little Elves,1935-01-01,SHORT SUBJECT (Cartoon),False
The Tortoise and the Hare,1935-01-01,SHORT SUBJECT (Cartoon),True
La Cucaracha,1935-01-01,SHORT SUBJECT (Comedy),True
Men in Black,1935-01-01,SHORT SUBJECT (Comedy),False
What,1935-01-01,SHORT SUBJECT (Comedy),False
 No Men!,1935-01-01,SHORT SUBJECT (Comedy),False
Bosom Friends,1935-01-01,SHORT SUBJECT (Novelty),False
City of Wax,1935-01-01,SHORT SUBJECT (Novelty),True
Strikes and Spares,1935-01-01,SHORT SUBJECT (Novelty),False
Hide-Out,1935-01-01,WRITING (Original Story),False
Manhattan Melodrama,1935-01-01,WRITING (Original Story),True
The Richest Girl in the World,1935-01-01,WRITING (Original Story),False
Mutiny on the Bounty,1936-01-01,ACTOR,False
Black Fury,1936-01-01,ACTOR,False
Escape Me Never,1936-01-01,ACTRESS,False
Private Worlds,1936-01-01,ACTRESS,False
Alice Adams,1936-01-01,ACTRESS,False
Becky Sharp,1936-01-01,ACTRESS,False
The Dark Angel,1936-01-01,ACTRESS,False
The Lives of a Bengal Lancer,1936-01-01,ART DIRECTION,False
Top Hat,1936-01-01,ART DIRECTION,False
David Copperfield,1936-01-01,ASSISTANT DIRECTOR,False
Les Miserables,1936-01-01,ASSISTANT DIRECTOR,False
A Midsummer Night's Dream,1936-01-01,ASSISTANT DIRECTOR,False
Barbary Coast,1936-01-01,CINEMATOGRAPHY,False
The Crusades,1936-01-01,CINEMATOGRAPHY,False
Gold Diggers of 1935,1936-01-01,DANCE DIRECTION,False
Go into Your Dance,1936-01-01,DANCE DIRECTION,False
,1936-01-01,DANCE DIRECTION,False
Broadway Melody of 1936,1936-01-01,DANCE DIRECTION,True
King of Burlesque,1936-01-01,DANCE DIRECTION,False
Big Broadcast of 1936,1936-01-01,DANCE DIRECTION,False
She,1936-01-01,DANCE DIRECTION,False
Captain Blood,1936-01-01,DIRECTING,False
Peter Ibbetson,1936-01-01,MUSIC (Scoring),False
Roberta,1936-01-01,MUSIC (Song),False
Naughty Marietta,1936-01-01,OUTSTANDING PRODUCTION,False
Ruggles of Red Gap,1936-01-01,OUTSTANDING PRODUCTION,False
The Calico Dragon,1936-01-01,SHORT SUBJECT (Cartoon),False
Three Orphan Kittens,1936-01-01,SHORT SUBJECT (Cartoon),True
Who Killed Cock Robin?,1936-01-01,SHORT SUBJECT (Cartoon),False
